post_id,timestamp,content,likes,comments,shares
1898836449367150768,2025-03-09 20:41:02,rt jdvance today walking year old daughter group slava ukraini protesters followed us around shouted daughter,0,0,55319
1898836448671158565,2025-03-09 20:41:02,rt rynkrynk fouryearold gets anxious whenever take nap daycares makeshift bomb shelter almost daily,0,0,4671
1898836448347845037,2025-03-09 20:41:02,rt shreyasiyer overwhelmed ecstatic proud brilliant team champions weve earned proud way fought,0,0,1343
1898836447123185903,2025-03-09 20:41:02,rt unsilencedgbc canadas future shaped governments college administrations mental health challenges among young pe,0,0,1
1898836446112608517,2025-03-09 20:41:02,rt ezechimeof political puppet called verydarkman ovienoba ile ibinu stop forcing igbos protest bec,0,0,39
1898836446066233837,2025-03-09 20:41:02,rt paynolj theyre weaponizing mental healthamp using astuntfake gf sell deception katewas blood money worth betraying li,0,0,5
1898836444287783088,2025-03-09 20:41:01,rt rinotri daughter anxious scared fucking imagine ukrainian children kidnapped sent reeducati,0,0,8460
1898836444237517049,2025-03-09 20:41:01,thealicesmith political hobbies die lonely alone new friend russia china finished dont scream allies dont anymore best wishes europe burn hell,0,0,0
1898836443415331318,2025-03-09 20:41:01,ezra stress distracted might distancing little bit see mean,0,0,0
1898836443281121481,2025-03-09 20:41:01,rt shreyasiyer overwhelmed ecstatic proud brilliant team champions weve earned proud way fought,0,0,1343
1898836442757165065,2025-03-09 20:41:01,rt artemisfornow covid im reflecting woman arrested filming inside empty local hospital whilst nurse filmed,0,0,1736
1898836442044047523,2025-03-09 20:41:01,rt yuumemiruu guys think im shadowbanned tt u guys im lonely,0,0,3
